# key	zipf — built by export_dictionary.py, do not hand-edit
اؤاتى	0.00
اؤب	0.00
اؤتم	0.00
اؤتمت	0.00
اؤتمر	0.00
اؤتممتم	0.00
اؤتممتن	0.00
اؤتممن	0.00
اؤتممنا	0.00
اؤتموا	0.00
اؤدى	1.34
اؤنى	0.00
ائتال	0.00
ائتام	0.00
ائتب	0.00
ائتثر	0.00
ائتج	0.00
ائتزر	0.00
ائتض	0.00
ائتكال	0.00
ائتكل	0.00
ائتلاف	3.93
ائتلافي	1.77
ائتلاق	0.00
ائتلف	1.98
ائتلق	0.00
ائتلى	0.00
ائتم	0.00
ائتمار	0.00
ائتمان	3.31
ائتمت	0.00
ائتمر	1.18
ائتمرتم	0.00
ائتمرتن	0.00
ائتمرنا	0.00
ائتمري	0.00
ائتمم	0.00
ائتممتم	0.00
ائتممتن	0.00
ائتممنا	0.00
ائتمن	2.33
ائتموا	0.00
ائتمي	0.00
ائتنس	0.00
ائتوى	0.00
ائمة	4.13
ائن	1.85
ائنوا	0.00
ائني	0.00
ائنيا	0.00
ائنين	0.00
ابؤس	0.00
ابؤسن	0.00
ابؤسوا	0.00
ابؤسي	0.00
ابا	4.38
اباء	3.73
اباءة	0.00
اباب	1.29
ابابة	0.00
ابابيل	2.68
ابات	2.05
اباتة	0.00
اباتي	1.97
اباجور	0.00
اباح	2.46
اباحة	3.12
اباحي	3.03
اباحية	3.74
اباخس	0.00
اباد	3.74
ابادة	3.88
ابار	3.57
ابارز	0.00
ابارى	0.00
اباريق	2.39
اباريقي	0.00
اباز	0.00
ابازير	0.00
ابازيم	1.67
اباس	1.31
اباسط	0.00
اباسن	0.00
اباسوا	0.00
اباسي	0.00
اباض	0.00
اباضة	1.64
اباضي	1.70
اباضية	1.79
اباط	1.74
اباطئ	0.00
اباطرة	2.81
اباطيل	2.02
اباع	1.17
اباعد	1.29
اباعر	0.00
اباق	0.00
ابال	0.00
ابالة	0.00
ابالسة	1.48
ابالى	2.03
اباليس	0.00
ابان	4.16
ابانة	1.76
اباهي	1.47
اباهيم	0.00
ابب	0.00
ابت	3.63
ابتئاس	0.00
ابتئس	0.00
ابتئسن	0.00
ابتئسوا	0.00
ابتئسي	0.00
ابتا	0.00
ابتاس	0.00
ابتاستم	0.00
ابتاستن	0.00
ابتاسن	0.00
ابتاسنا	0.00
ابتاسوا	0.00
ابتاع	2.67
ابتاعت	1.84
ابتاعوا	1.45
ابتاعي	1.09
ابتة	0.00
ابتدؤوا	0.00
ابتدئن	0.00
ابتدئوا	0.00
ابتدئي	0.00
ابتدا	3.32
ابتداء	4.37
ابتدائي	3.76
ابتداتم	0.00
ابتداتن	0.00
ابتدار	0.00
ابتداع	2.42
ابتدان	0.00
ابتدانا	1.72
ابتدر	1.14
ابتدع	2.98
ابتده	0.00
ابتذال	2.03
ابتذل	0.00
ابتر	2.33
ابتز	2.15
ابتزاز	3.57
ابتزازي	1.66
ابتسام	3.30
ابتسامة	4.10
ابتسر	0.00
ابتسري	0.00
ابتسم	3.86
ابتسمتم	0.00
ابتسمتن	0.00
ابتسمنا	1.43
ابتسمي	3.08
ابتض	0.00
ابتع	1.65
ابتعاث	2.67
ابتعاد	3.09
ابتعث	2.17
ابتعد	4.00
ابتعدتم	1.37
ابتعدتن	0.00
ابتعدنا	2.98
ابتعدي	2.79
ابتغاء	3.11
ابتغى	2.69
ابتكار	3.94
ابتكر	3.64
ابتل	2.13
ابتلاء	2.99
ابتلاش	0.00
ابتلاع	3.23
ابتلال	1.15
ابتلع	2.92
ابتلعي	0.00
ابتلى	2.74
ابتم	0.00
ابتما	0.00
ابتن	0.00
ابتناء	1.38
ابتنى	1.83
ابتهاج	2.73
ابتهال	2.58
ابتهج	3.07
ابتهل	1.77
ابتياع	2.08
ابتيع	0.00
ابتيعت	0.00
ابتيعوا	0.00
ابث	2.39
ابجد	2.38
ابجدي	2.26
ابجدية	2.95
ابجر	2.04
ابح	1.97
ابحاث	4.41
ابحار	2.81
ابحث	4.41
ابحثن	0.00
ابحثوا	3.29
ابحثي	2.75
ابحر	3.49
ابحرن	0.00
ابحروا	1.64
ابحري	0.00
ابخازيا	3.24
ابخر	1.49
ابخرة	2.87
ابخق	0.00
ابخل	2.44
ابد	3.50
ابدؤوا	1.81
ابدئي	2.74
ابدا	5.28
ابداء	3.68
ابداع	3.97
ابداعي	3.24
ابدال	2.09
ابدان	1.23
ابدتم	0.00
ابدتن	0.00
ابدع	3.54
ابدل	3.09
ابدلي	0.00
ابدن	1.70
ابدنا	0.00
ابدوا	3.47
ابدون	1.30
ابدى	3.96
ابدي	3.43
ابدية	3.45
ابدين	0.00
ابذا	0.00
ابذة	0.00
ابر	3.10
ابرا	2.59
ابراء	2.82
ابراج	3.77
ابراح	0.00
ابراد	0.00
ابرار	2.62
ابراز	3.83
ابراق	1.01
ابرام	3.55
ابراهيم	5.14
ابرة	3.55
ابرج	0.00
ابرجن	0.00
ابرجوا	0.00
ابرجي	0.00
ابرح	2.51
ابرد	3.23
ابردن	0.00
ابردوا	0.00
ابردي	0.00
ابرز	4.78
ابرزن	0.00
ابرزوا	1.12
ابرزي	1.45
ابرش	1.04
ابرشية	2.98
ابرص	1.96
ابرغش	0.00
ابرغشت	0.00
ابرغشش	0.00
ابرغشي	0.00
ابرق	2.50
ابرقن	0.00
ابرقوا	0.00
ابرقي	1.01
ابرك	1.93
ابركن	0.00
ابركوا	0.00
ابركي	0.00
ابرم	3.11
ابريز	1.36
ابريسم	0.00
ابريق	2.89
ابريل	5.18
ابز	1.87
ابزار	0.00
ابزلة	0.00
ابزن	0.00
ابزيم	1.86
ابس	2.10
